area_code,drug_type,level,episodes,dimension
40103,Hallucinogens,Females,2,Sex
40103,Hallucinogens,Males,3,Sex
40103,Inhalants,Males,1,Sex
40103,Multiple drug use,Females,12,Sex
40103,Multiple drug use,Males,25,Sex
40103,Non-opioid analgesic and antirheumatic,Females,7,Sex
40103,Non-opioid analgesic and antirheumatic,Males,12,Sex
40103,Opioid,Females,18,Sex
40103,Opioid,Males,21,Sex
40103,Other,Females,3,Sex
40103,Other,Males,4,Sex
40103,Psychostimulants,Females,16,Sex
40103,Psychostimulants,Males,56,Sex
40103,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,10,Sex
40103,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,20,Sex
40103,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,9,Sex
40103,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,24,Sex
40104,Alcohol,Females,60,Sex
40104,Alcohol,Males,125,Sex
40104,All drug-related,Females,151,Sex
40104,All drug-related,Males,272,Sex
40104,Anaesthetics,Males,1,Sex
40104,Analeptics and opioid receptor antagonists,Males,1,Sex
40104,Cannabinoids,Females,11,Sex
40104,Cannabinoids,Males,24,Sex
40104,Hallucinogens,Females,4,Sex
40104,Hallucinogens,Males,3,Sex
40104,Inhalants,Males,2,Sex
40104,Multiple drug use,Females,7,Sex
40104,Multiple drug use,Males,18,Sex
40104,Non-opioid analgesic and antirheumatic,Females,9,Sex
40104,Non-opioid analgesic and antirheumatic,Males,5,Sex
40104,Opioid,Females,13,Sex
40104,Opioid,Males,30,Sex
40104,Other,Females,3,Sex
40104,Other,Males,4,Sex
40104,Psychostimulants,Females,23,Sex
40104,Psychostimulants,Males,35,Sex
40104,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,6,Sex
40104,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
40104,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,15,Sex
40104,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,21,Sex
40105,Alcohol,Females,53,Sex
40105,Alcohol,Males,110,Sex
40105,All drug-related,Females,144,Sex
40105,All drug-related,Males,230,Sex
40105,Anaesthetics,Females,2,Sex
40105,Analeptics and opioid receptor antagonists,Females,1,Sex
40105,Analeptics and opioid receptor antagonists,Males,2,Sex
40105,Androgens and anabolic congeners,Females,1,Sex
40105,Androgens and anabolic congeners,Males,1,Sex
40105,Cannabinoids,Females,11,Sex
40105,Cannabinoids,Males,15,Sex
40105,Hallucinogens,Females,1,Sex
40105,Hallucinogens,Males,1,Sex
40105,Multiple drug use,Females,12,Sex
40105,Multiple drug use,Males,20,Sex
40105,Non-opioid analgesic and antirheumatic,Females,7,Sex
40105,Non-opioid analgesic and antirheumatic,Males,9,Sex
40105,Opioid,Females,16,Sex
40105,Opioid,Males,16,Sex
40105,Other,Females,2,Sex
40105,Other,Males,3,Sex
40105,Psychostimulants,Females,23,Sex
40105,Psychostimulants,Males,33,Sex
40105,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,5,Sex
40105,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,6,Sex
40105,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,10,Sex
40105,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,14,Sex
40106,Alcohol,Females,128,Sex
40106,Alcohol,Males,198,Sex
40106,All drug-related,Females,275,Sex
40106,All drug-related,Males,465,Sex
40106,Anaesthetics,Females,1,Sex
40106,Anaesthetics,Males,1,Sex
40106,Analeptics and opioid receptor antagonists,Males,2,Sex
40106,Androgens and anabolic congeners,Females,1,Sex
40106,Androgens and anabolic congeners,Males,1,Sex
40106,Cannabinoids,Females,22,Sex
40106,Cannabinoids,Males,43,Sex
40106,Hallucinogens,Females,7,Sex
40106,Hallucinogens,Males,6,Sex
40106,Inhalants,Males,5,Sex
40106,Multiple drug use,Females,15,Sex
40106,Multiple drug use,Males,39,Sex
40106,Non-opioid analgesic and antirheumatic,Females,12,Sex
40106,Non-opioid analgesic and antirheumatic,Males,16,Sex
40106,Opioid,Females,23,Sex
40106,Opioid,Males,42,Sex
40106,Other,Females,5,Sex
40106,Other,Males,4,Sex
40106,Psychostimulants,Females,40,Sex
40106,Psychostimulants,Males,62,Sex
40106,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,9,Sex
40106,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,16,Sex
40106,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,12,Sex
40106,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,30,Sex
40107,Alcohol,Females,142,Sex
40107,Alcohol,Males,207,Sex
40107,All drug-related,Females,291,Sex
40107,All drug-related,Males,490,Sex
40107,Anaesthetics,Females,3,Sex
40107,Anaesthetics,Males,3,Sex
40107,Analeptics and opioid receptor antagonists,Males,1,Sex
40107,Cannabinoids,Females,23,Sex
40107,Cannabinoids,Males,45,Sex
40107,Hallucinogens,Females,1,Sex
40107,Hallucinogens,Males,7,Sex
40107,Inhalants,Males,4,Sex
40107,Multiple drug use,Females,17,Sex
40107,Multiple drug use,Males,32,Sex
40107,Non-opioid analgesic and antirheumatic,Females,6,Sex
40107,Non-opioid analgesic and antirheumatic,Males,13,Sex
40107,Opioid,Females,31,Sex
40107,Opioid,Males,43,Sex
40107,Other,Females,2,Sex
40107,Other,Males,1,Sex
40107,Psychostimulants,Females,38,Sex
40107,Psychostimulants,Males,84,Sex
40107,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,11,Sex
40107,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,14,Sex
40107,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,17,Sex
40107,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,36,Sex
40201,Alcohol,Females,45,Sex
40201,Alcohol,Males,71,Sex
40201,All drug-related,Females,102,Sex
40201,All drug-related,Males,189,Sex
40201,Anaesthetics,Males,1,Sex
40201,Analeptics and opioid receptor antagonists,Females,2,Sex
40201,Cannabinoids,Females,9,Sex
40201,Cannabinoids,Males,15,Sex
40201,Hallucinogens,Females,1,Sex
40201,Hallucinogens,Males,5,Sex
40201,Inhalants,Males,1,Sex
40201,Multiple drug use,Females,6,Sex
40201,Multiple drug use,Males,12,Sex
40201,Non-opioid analgesic and antirheumatic,Females,3,Sex
40201,Non-opioid analgesic and antirheumatic,Males,10,Sex
40201,Opioid,Females,7,Sex
40201,Opioid,Males,26,Sex
40201,Other,Females,2,Sex
40201,Other,Males,3,Sex
40201,Psychostimulants,Females,15,Sex
40201,Psychostimulants,Males,27,Sex
40201,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,4,Sex
40201,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,10,Sex
40201,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,8,Sex
40201,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,8,Sex
40202,Alcohol,Females,99,Sex
40202,Alcohol,Males,179,Sex
40202,All drug-related,Females,256,Sex
40202,All drug-related,Males,399,Sex
40202,Anaesthetics,Males,4,Sex
40202,Analeptics and opioid receptor antagonists,Females,1,Sex
40202,Cannabinoids,Females,16,Sex
40202,Cannabinoids,Males,31,Sex
40202,Hallucinogens,Females,1,Sex
40202,Hallucinogens,Males,3,Sex
40202,Inhalants,Females,3,Sex
40202,Inhalants,Males,5,Sex
40202,Multiple drug use,Females,20,Sex
40202,Multiple drug use,Males,27,Sex
40202,Non-opioid analgesic and antirheumatic,Females,15,Sex
40202,Non-opioid analgesic and antirheumatic,Males,13,Sex
40202,Opioid,Females,20,Sex
40202,Opioid,Males,38,Sex
40202,Other,Females,3,Sex
40202,Other,Males,7,Sex
40202,Psychostimulants,Females,47,Sex
40202,Psychostimulants,Males,61,Sex
40202,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,10,Sex
40202,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,12,Sex
40202,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,20,Sex
40202,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,19,Sex
40202,Steroids or hormones,Females,1,Sex
40203,Alcohol,Females,59,Sex
40203,Alcohol,Males,115,Sex
40203,All drug-related,Females,143,Sex
40203,All drug-related,Males,231,Sex
40203,Anaesthetics,Females,1,Sex
40203,Anaesthetics,Males,1,Sex
40203,Analeptics and opioid receptor antagonists,Females,1,Sex
40203,Androgens and anabolic congeners,Males,2,Sex
40203,Cannabinoids,Females,12,Sex
40203,Cannabinoids,Males,23,Sex
40203,Hallucinogens,Females,6,Sex
40203,Hallucinogens,Males,1,Sex
40203,Inhalants,Females,2,Sex
40203,Multiple drug use,Females,11,Sex
40203,Multiple drug use,Males,9,Sex
40203,Non-opioid analgesic and antirheumatic,Females,5,Sex
40203,Non-opioid analgesic and antirheumatic,Males,4,Sex
40203,Opioid,Females,11,Sex
40203,Opioid,Males,21,Sex
40203,Other,Females,4,Sex
40203,Other,Males,3,Sex
40203,Psychostimulants,Females,21,Sex
40203,Psychostimulants,Males,36,Sex
40203,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,4,Sex
40203,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
40203,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,6,Sex
40203,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,13,Sex
40204,Alcohol,Females,152,Sex
40204,Alcohol,Males,217,Sex
40204,All drug-related,Females,361,Sex
40204,All drug-related,Males,493,Sex
40204,Anaesthetics,Females,3,Sex
40204,Anaesthetics,Males,1,Sex
40204,Analeptics and opioid receptor antagonists,Females,1,Sex
40204,Androgens and anabolic congeners,Females,1,Sex
40204,Androgens and anabolic congeners,Males,1,Sex
40204,Cannabinoids,Females,23,Sex
40204,Cannabinoids,Males,44,Sex
40204,Hallucinogens,Females,3,Sex
40204,Hallucinogens,Males,5,Sex
40204,Inhalants,Females,1,Sex
40204,Inhalants,Males,6,Sex
40204,Multiple drug use,Females,32,Sex
40204,Multiple drug use,Males,50,Sex
40204,Non-opioid analgesic and antirheumatic,Females,14,Sex
40204,Non-opioid analgesic and antirheumatic,Males,13,Sex
40204,Opioid,Females,26,Sex
40204,Opioid,Males,39,Sex
40204,Other,Females,5,Sex
40204,Other,Males,6,Sex
40204,Psychostimulants,Females,56,Sex
40204,Psychostimulants,Males,71,Sex
40204,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,14,Sex
40204,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,14,Sex
40204,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,30,Sex
40204,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,26,Sex
40205,Alcohol,Females,163,Sex
40205,Alcohol,Males,219,Sex
40205,All drug-related,Females,342,Sex
40205,All drug-related,Males,499,Sex
40205,Anaesthetics,Females,1,Sex
40205,Anaesthetics,Males,1,Sex
40205,Analeptics and opioid receptor antagonists,Males,2,Sex
40205,Androgens and anabolic congeners,Males,2,Sex
40205,Cannabinoids,Females,20,Sex
40205,Cannabinoids,Males,33,Sex
40205,Hallucinogens,Males,2,Sex
40205,Inhalants,Females,1,Sex
40205,Inhalants,Males,3,Sex
40205,Multiple drug use,Females,23,Sex
40205,Multiple drug use,Males,43,Sex
40205,Non-opioid analgesic and antirheumatic,Females,5,Sex
40205,Non-opioid analgesic and antirheumatic,Males,14,Sex
40205,Opioid,Females,39,Sex
40205,Opioid,Males,40,Sex
40205,Other,Females,2,Sex
40205,Other,Males,9,Sex
40205,Psychostimulants,Females,54,Sex
40205,Psychostimulants,Males,84,Sex
40205,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,13,Sex
40205,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,22,Sex
40205,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,21,Sex
40205,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,24,Sex
40205,Steroids or hormones,Males,1,Sex
40301,Alcohol,Females,134,Sex
40301,Alcohol,Males,154,Sex
40301,All drug-related,Females,278,Sex
40301,All drug-related,Males,374,Sex
40301,Anaesthetics,Females,1,Sex
40301,Anaesthetics,Males,4,Sex
40301,Analeptics and opioid receptor antagonists,Females,1,Sex
40301,Androgens and anabolic congeners,Males,1,Sex
40301,Cannabinoids,Females,21,Sex
40301,Cannabinoids,Males,25,Sex
40301,Hallucinogens,Females,2,Sex
40301,Hallucinogens,Males,3,Sex
40301,Inhalants,Females,1,Sex
40301,Inhalants,Males,4,Sex
40301,Multiple drug use,Females,20,Sex
40301,Multiple drug use,Males,30,Sex
40301,Non-opioid analgesic and antirheumatic,Females,9,Sex
40301,Non-opioid analgesic and antirheumatic,Males,11,Sex
40301,Opioid,Females,23,Sex
40301,Opioid,Males,31,Sex
40301,Other,Females,2,Sex
40301,Other,Males,4,Sex
40301,Psychostimulants,Females,36,Sex
40301,Psychostimulants,Males,61,Sex
40301,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,8,Sex
40301,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,11,Sex
40301,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,20,Sex
40301,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,34,Sex
40301,Steroids or hormones,Males,1,Sex
40302,Alcohol,Females,118,Sex
40302,Alcohol,Males,208,Sex
40302,All drug-related,Females,274,Sex
40302,All drug-related,Males,452,Sex
40302,Anaesthetics,Males,3,Sex
40302,Analeptics and opioid receptor antagonists,Females,1,Sex
40302,Androgens and anabolic congeners,Females,1,Sex
40302,Cannabinoids,Females,25,Sex
40302,Cannabinoids,Males,44,Sex
40302,Hallucinogens,Females,3,Sex
40302,Hallucinogens,Males,6,Sex
40302,Inhalants,Females,1,Sex
40302,Inhalants,Males,2,Sex
40302,Multiple drug use,Females,19,Sex
40302,Multiple drug use,Males,26,Sex
40302,Non-opioid analgesic and antirheumatic,Females,10,Sex
40302,Non-opioid analgesic and antirheumatic,Males,11,Sex
40302,Opioid,Females,14,Sex
40302,Opioid,Males,28,Sex
40302,Other,Females,3,Sex
40302,Other,Males,2,Sex
40302,Psychostimulants,Females,52,Sex
40302,Psychostimulants,Males,79,Sex
40302,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,13,Sex
40302,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,21,Sex
40302,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,14,Sex
40302,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,21,Sex
40302,Steroids or hormones,Males,1,Sex
40303,Alcohol,Females,86,Sex
40303,Alcohol,Males,150,Sex
40303,All drug-related,Females,203,Sex
40303,All drug-related,Males,344,Sex
40303,Anaesthetics,Females,4,Sex
40303,Anaesthetics,Males,2,Sex
40303,Analeptics and opioid receptor antagonists,Females,1,Sex
40303,Analeptics and opioid receptor antagonists,Males,2,Sex
40303,Androgens and anabolic congeners,Females,1,Sex
40303,Cannabinoids,Females,14,Sex
40303,Cannabinoids,Males,33,Sex
40303,Hallucinogens,Females,2,Sex
40303,Hallucinogens,Males,3,Sex
40303,Inhalants,Females,3,Sex
40303,Inhalants,Males,1,Sex
40303,Multiple drug use,Females,16,Sex
40303,Multiple drug use,Males,24,Sex
40303,Non-opioid analgesic and antirheumatic,Females,2,Sex
40303,Non-opioid analgesic and antirheumatic,Males,10,Sex
40303,Opioid,Females,21,Sex
40303,Opioid,Males,32,Sex
40303,Other,Females,2,Sex
40303,Other,Males,3,Sex
40303,Psychostimulants,Females,35,Sex
40303,Psychostimulants,Males,49,Sex
40303,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,9,Sex
40303,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,15,Sex
40303,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,7,Sex
40303,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,20,Sex
40304,Alcohol,Females,138,Sex
40304,Alcohol,Males,222,Sex
40304,All drug-related,Females,276,Sex
40304,All drug-related,Males,488,Sex
40304,Anaesthetics,Females,1,Sex
40304,Anaesthetics,Males,1,Sex
40304,Analeptics and opioid receptor antagonists,Males,4,Sex
40304,Androgens and anabolic congeners,Males,1,Sex
40304,Cannabinoids,Females,20,Sex
40304,Cannabinoids,Males,36,Sex
40304,Hallucinogens,Females,1,Sex
40304,Hallucinogens,Males,8,Sex
40304,Inhalants,Females,1,Sex
40304,Inhalants,Males,6,Sex
40304,Multiple drug use,Females,18,Sex
40304,Multiple drug use,Males,35,Sex
40304,Non-opioid analgesic and antirheumatic,Females,10,Sex
40304,Non-opioid analgesic and antirheumatic,Males,17,Sex
40304,Opioid,Females,19,Sex
40304,Opioid,Males,36,Sex
40304,Other,Females,2,Sex
40304,Other,Males,10,Sex
40304,Psychostimulants,Females,38,Sex
40304,Psychostimulants,Males,74,Sex
40304,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,9,Sex
40304,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,16,Sex
40304,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,19,Sex
40304,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,21,Sex
40304,Steroids or hormones,Males,1,Sex
40401,Alcohol,Females,94,Sex
40401,Alcohol,Males,137,Sex
40401,All drug-related,Females,204,Sex
40401,All drug-related,Males,302,Sex
40401,Anaesthetics,Females,1,Sex
40401,Anaesthetics,Males,3,Sex
40401,Analeptics and opioid receptor antagonists,Males,2,Sex
40401,Androgens and anabolic congeners,Males,2,Sex
40401,Cannabinoids,Females,14,Sex
40401,Cannabinoids,Males,18,Sex
40401,Hallucinogens,Females,1,Sex
40401,Hallucinogens,Males,3,Sex
40401,Inhalants,Females,1,Sex
40401,Inhalants,Males,3,Sex
40401,Multiple drug use,Females,14,Sex
40401,Multiple drug use,Males,21,Sex
40401,Non-opioid analgesic and antirheumatic,Females,6,Sex
40401,Non-opioid analgesic and antirheumatic,Males,6,Sex
40401,Opioid,Females,21,Sex
40401,Opioid,Males,27,Sex
40401,Other,Females,3,Sex
40401,Other,Males,6,Sex
40401,Psychostimulants,Females,27,Sex
40401,Psychostimulants,Males,47,Sex
40401,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,10,Sex
40401,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,11,Sex
40401,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,12,Sex
40401,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,15,Sex
40401,Steroids or hormones,Males,1,Sex
40402,Alcohol,Females,75,Sex
40402,Alcohol,Males,96,Sex
40402,All drug-related,Females,154,Sex
40402,All drug-related,Males,232,Sex
40402,Anaesthetics,Males,3,Sex
40402,Analeptics and opioid receptor antagonists,Females,1,Sex
40402,Analeptics and opioid receptor antagonists,Males,1,Sex
40402,Cannabinoids,Females,14,Sex
40402,Cannabinoids,Males,17,Sex
40402,Hallucinogens,Females,1,Sex
40402,Hallucinogens,Males,1,Sex
40402,Inhalants,Males,3,Sex
40402,Multiple drug use,Females,10,Sex
40402,Multiple drug use,Males,18,Sex
40402,Non-opioid analgesic and antirheumatic,Females,5,Sex
40402,Non-opioid analgesic and antirheumatic,Males,11,Sex
40402,Opioid,Females,9,Sex
40402,Opioid,Males,16,Sex
40402,Other,Females,2,Sex
40402,Other,Males,8,Sex
40402,Psychostimulants,Females,24,Sex
40402,Psychostimulants,Males,38,Sex
40402,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,4,Sex
40402,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,9,Sex
40402,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,9,Sex
40402,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,11,Sex
40403,Alcohol,Females,57,Sex
40403,Alcohol,Males,91,Sex
40403,All drug-related,Females,121,Sex
40403,All drug-related,Males,195,Sex
40403,Anaesthetics,Females,2,Sex
40403,Anaesthetics,Males,1,Sex
40403,Cannabinoids,Females,3,Sex
40403,Cannabinoids,Males,13,Sex
40403,Hallucinogens,Females,1,Sex
40403,Hallucinogens,Males,1,Sex
40403,Multiple drug use,Females,7,Sex
40403,Multiple drug use,Males,10,Sex
40403,Non-opioid analgesic and antirheumatic,Females,7,Sex
40403,Non-opioid analgesic and antirheumatic,Males,11,Sex
40403,Opioid,Females,14,Sex
40403,Opioid,Males,18,Sex
40403,Other,Males,1,Sex
40403,Psychostimulants,Females,15,Sex
40403,Psychostimulants,Males,29,Sex
40403,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,5,Sex
40403,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,8,Sex
40403,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,10,Sex
40403,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,12,Sex
40501,Alcohol,Females,41,Sex
40501,Alcohol,Males,81,Sex
40501,All drug-related,Females,113,Sex
40501,All drug-related,Males,182,Sex
40501,Anaesthetics,Males,1,Sex
40501,Analeptics and opioid receptor antagonists,Females,1,Sex
40501,Androgens and anabolic congeners,Males,1,Sex
40501,Cannabinoids,Females,8,Sex
40501,Cannabinoids,Males,17,Sex
40501,Hallucinogens,Females,1,Sex
40501,Hallucinogens,Males,1,Sex
40501,Inhalants,Females,2,Sex
40501,Inhalants,Males,1,Sex
40501,Multiple drug use,Females,9,Sex
40501,Multiple drug use,Males,11,Sex
40501,Non-opioid analgesic and antirheumatic,Females,6,Sex
40501,Non-opioid analgesic and antirheumatic,Males,10,Sex
40501,Opioid,Females,9,Sex
40501,Opioid,Males,12,Sex
40501,Other,Males,4,Sex
40501,Psychostimulants,Females,24,Sex
40501,Psychostimulants,Males,22,Sex
40501,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,5,Sex
40501,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,10,Sex
40501,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,7,Sex
40501,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,11,Sex
40502,Alcohol,Females,79,Sex
40502,Alcohol,Males,164,Sex
40502,All drug-related,Females,191,Sex
40502,All drug-related,Males,327,Sex
40502,Anaesthetics,Males,1,Sex
40502,Androgens and anabolic congeners,Males,1,Sex
40502,Cannabinoids,Females,15,Sex
40502,Cannabinoids,Males,26,Sex
40502,Hallucinogens,Females,1,Sex
40502,Hallucinogens,Males,8,Sex
40502,Inhalants,Females,1,Sex
40502,Inhalants,Males,3,Sex
40502,Multiple drug use,Females,14,Sex
40502,Multiple drug use,Males,18,Sex
40502,Non-opioid analgesic and antirheumatic,Females,4,Sex
40502,Non-opioid analgesic and antirheumatic,Males,10,Sex
40502,Opioid,Females,15,Sex
40502,Opioid,Males,22,Sex
40502,Other,Females,1,Sex
40502,Other,Males,3,Sex
40502,Psychostimulants,Females,29,Sex
40502,Psychostimulants,Males,40,Sex
40502,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,13,Sex
40502,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,8,Sex
40502,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,19,Sex
40502,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,23,Sex
40503,Alcohol,Females,101,Sex
40503,Alcohol,Males,148,Sex
40503,All drug-related,Females,186,Sex
40503,All drug-related,Males,314,Sex
40503,Anaesthetics,Females,2,Sex
40503,Anaesthetics,Males,1,Sex
40503,Analeptics and opioid receptor antagonists,Females,1,Sex
40503,Analeptics and opioid receptor antagonists,Males,1,Sex
40503,Cannabinoids,Females,12,Sex
40503,Cannabinoids,Males,33,Sex
40503,Hallucinogens,Females,3,Sex
40503,Hallucinogens,Males,1,Sex
40503,Inhalants,Males,1,Sex
40503,Multiple drug use,Females,15,Sex
40503,Multiple drug use,Males,24,Sex
40503,Non-opioid analgesic and antirheumatic,Females,6,Sex
40503,Non-opioid analgesic and antirheumatic,Males,5,Sex
40503,Opioid,Females,11,Sex
40503,Opioid,Males,23,Sex
40503,Other,Males,6,Sex
40503,Psychostimulants,Females,19,Sex
40503,Psychostimulants,Males,42,Sex
40503,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,7,Sex
40503,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,15,Sex
40503,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,9,Sex
40503,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,13,Sex
40503,Steroids or hormones,Males,1,Sex
40504,Alcohol,Females,103,Sex
40504,Alcohol,Males,182,Sex
40504,All drug-related,Females,239,Sex
40504,All drug-related,Males,410,Sex
40504,Anaesthetics,Females,3,Sex
40504,Androgens and anabolic congeners,Females,1,Sex
40504,Androgens and anabolic congeners,Males,1,Sex
40504,Cannabinoids,Females,23,Sex
40504,Cannabinoids,Males,25,Sex
40504,Hallucinogens,Females,4,Sex
40504,Inhalants,Females,2,Sex
40504,Inhalants,Males,1,Sex
40504,Multiple drug use,Females,18,Sex
40504,Multiple drug use,Males,19,Sex
