area_code,drug_type,level,episodes,dimension
40101,Alcohol,Females,65,Sex
40101,Alcohol,Males,73,Sex
40101,All drug-related,Females,124,Sex
40101,All drug-related,Males,166,Sex
40101,Anaesthetics,Females,1,Sex
40101,Cannabinoids,Females,10,Sex
40101,Cannabinoids,Males,13,Sex
40101,Hallucinogens,Females,3,Sex
40101,Hallucinogens,Males,2,Sex
40101,Inhalants,Females,1,Sex
40101,Inhalants,Males,1,Sex
40101,Multiple drug use,Females,9,Sex
40101,Multiple drug use,Males,17,Sex
40101,Non-opioid analgesic and antirheumatic,Females,4,Sex
40101,Non-opioid analgesic and antirheumatic,Males,6,Sex
40101,Opioid,Females,7,Sex
40101,Opioid,Males,12,Sex
40101,Other,Females,2,Sex
40101,Other,Males,3,Sex
40101,Psychostimulants,Females,11,Sex
40101,Psychostimulants,Males,25,Sex
40101,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,1,Sex
40101,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
40101,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,10,Sex
40101,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,11,Sex
40102,Alcohol,Females,111,Sex
40102,Alcohol,Males,159,Sex
40102,All drug-related,Females,222,Sex
40102,All drug-related,Males,384,Sex
40102,Anaesthetics,Males,2,Sex
40102,Cannabinoids,Females,15,Sex
40102,Cannabinoids,Males,37,Sex
40102,Hallucinogens,Males,3,Sex
40102,Inhalants,Males,5,Sex
40102,Multiple drug use,Females,17,Sex
40102,Multiple drug use,Males,25,Sex
40102,Non-opioid analgesic and antirheumatic,Females,4,Sex
40102,Non-opioid analgesic and antirheumatic,Males,12,Sex
40102,Opioid,Females,18,Sex
40102,Opioid,Males,26,Sex
40102,Other,Females,2,Sex
40102,Other,Males,5,Sex
40102,Psychostimulants,Females,32,Sex
40102,Psychostimulants,Males,69,Sex
40102,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,6,Sex
40102,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,18,Sex
40102,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,17,Sex
40102,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,23,Sex
40103,Alcohol,Females,81,Sex
40103,Alcohol,Males,129,Sex
40103,All drug-related,Females,175,Sex
40103,All drug-related,Males,316,Sex
40103,Anaesthetics,Females,2,Sex
40103,Anaesthetics,Males,1,Sex
40103,Analeptics and opioid receptor antagonists,Females,1,Sex
40103,Androgens and anabolic congeners,Females,1,Sex
40103,Androgens and anabolic congeners,Males,1,Sex
40103,Cannabinoids,Females,13,Sex
40103,Cannabinoids,Males,19,Sex
